"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.276316408E0,2.637071908E-1,-2.376613617E-1,1.095457077E-1
1.281313491E0,1.966405213E-1,-1.783971786E-1,2.042279243E-1
1.286320001E0,1.105187833E-1,-1.304464340E-1,2.764267921E-1
1.291326460E0,5.198548734E-2,-1.477785110E-1,2.118721008E-1
1.296332970E0,2.471098304E-2,-8.502388000E-2,1.470336914E-1
1.301392970E0,5.846947432E-3,-6.154537201E-2,9.553480148E-2
1.306452970E0,-6.449073553E-3,4.332542419E-3,5.720567703E-2
1.311512970E0,3.126305342E-2,4.204750061E-3,-4.339742661E-2
1.316572970E0,5.054283142E-2,2.837181091E-2,-1.626539230E-1
1.321512970E0,5.389443040E-2,8.506393433E-2,-1.855006218E-1
1.326452970E0,4.539827257E-2,1.818618774E-1,-1.474137306E-1
1.331415262E0,-6.591825187E-2,2.063131332E-1,-1.564588547E-1
1.336421043E0,-3.016451299E-1,6.564426422E-2,-1.240396500E-1
1.341448543E0,-4.192835987E-1,5.074691772E-2,-8.407688141E-2
1.346455366E0,-4.571826458E-1,1.515922546E-1,-5.490875244E-2
1.351462293E0,-5.203866363E-1,1.814966202E-1,-5.113124847E-3
1.356469168E0,-5.696486235E-1,1.641969681E-1,-7.481575012E-4
1.361454533E0,-5.341607928E-1,1.309471130E-1,-3.313636780E-2
1.366460366E0,-4.100629985E-1,1.845798492E-1,-9.725713730E-2
1.371466147E0,-2.588630617E-1,1.470232010E-1,-8.624219894E-2
1.376471980E0,-1.552280486E-1,1.283264160E-1,-1.136264801E-1
1.381538335E0,-1.779258251E-2,9.974575043E-2,-2.162785530E-1
1.386547241E0,1.053078175E-1,5.967807770E-2,-2.821607590E-1
1.391556095E0,2.257164568E-1,1.217041016E-1,-3.028936386E-1
1.396564949E0,2.167574018E-1,9.394645691E-2,-3.294911385E-1
1.401583283E0,1.762789935E-1,3.271102905E-3,-3.571610451E-1
1.406592605E0,2.019323856E-1,-7.314205170E-2,-4.228904247E-1
1.411601980E0,2.967009544E-1,-4.397487640E-2,-3.887114525E-1
1.416611303E0,4.148135781E-1,-1.698684692E-2,-2.197451591E-1
1.421671303E0,3.888096809E-1,-8.950138092E-2,-9.575176239E-2
1.426731303E0,2.643784583E-1,-1.807947159E-1,-2.597904205E-2
1.431791303E0,2.071161866E-1,-2.031240463E-1,9.203577042E-2
1.436851303E0,1.354123950E-1,-1.614379883E-1,1.259474754E-1
1.441946512E0,3.563439846E-2,-1.026287079E-1,2.130913734E-1
1.446967658E0,-1.252964437E-1,-4.835987091E-2,2.826862335E-1
1.451988751E0,-2.990131974E-1,3.464412689E-2,1.621489525E-1
1.457009949E0,-3.922759891E-1,5.901718140E-2,1.139478683E-1
1.461991616E0,-4.772482812E-1,8.476257324E-2,3.803110123E-2
1.467010783E0,-4.497432113E-1,1.334447861E-1,-5.154752731E-2
1.472029949E0,-4.187610447E-1,1.913137436E-1,-8.956956863E-2
1.477049116E0,-3.846464157E-1,1.781921387E-1,-1.328978539E-1
1.481989116E0,-3.141297698E-1,1.801166534E-1,-1.404738426E-1
1.486929116E0,-1.983360648E-1,1.886835098E-1,-1.915907860E-1
1.491869116E0,-1.306952834E-1,1.476812363E-1,-2.548832893E-1
1.496776147E0,-9.820905328E-2,1.258735657E-1,-2.117061615E-1
1.501808751E0,-4.685896635E-2,1.361894608E-1,-1.277155876E-1
1.506814272E0,1.996496320E-2,8.442020416E-2,-1.067938805E-1
1.511819793E0,7.086440176E-2,6.473827362E-2,-8.668422699E-3
1.516825262E0,1.370014101E-1,2.749252319E-2,7.722377777E-2
1.521885262E0,1.270649284E-1,-6.344032288E-2,4.487180710E-2
1.526945262E0,1.490201354E-1,-9.436702728E-2,1.026563644E-1
1.532005262E0,1.883814782E-1,-3.386020660E-2,2.067327499E-1
1.537065262E0,1.212582886E-1,-5.844497681E-2,1.645498276E-1
1.542005262E0,3.218053281E-2,-6.592750549E-2,4.026889801E-2
1.546945262E0,1.169770956E-2,-3.093624115E-2,-5.169391632E-3
1.551909168E0,-2.868245542E-2,1.488494873E-2,-4.398202896E-2
1.556914324E0,-7.982009649E-2,6.261062622E-2,-2.312836647E-1
1.561943699E0,-1.117053628E-1,1.064319611E-1,-3.648982048E-1
1.566950105E0,-9.338846803E-2,1.750707626E-1,-4.088797569E-1
1.571956512E0,-1.373477280E-2,2.999305725E-1,-3.618841171E-1
1.576962866E0,1.098829508E-2,2.823486328E-1,-2.698640823E-1
1.582022866E0,-3.139212728E-3,2.345323563E-1,-1.540083885E-1
1.587282866E0,-5.334547162E-2,1.512851715E-1,-6.654024124E-2
1.592304116E0,-1.357427984E-1,9.220314026E-2,8.367967606E-2
1.597325314E0,-1.653539389E-1,1.227149963E-1,1.701798439E-1
1.602298022E0,-2.067877203E-1,1.497983932E-1,2.765250206E-1
1.607317189E0,-2.824438214E-1,1.544160843E-1,2.394566536E-1
1.612336303E0,-3.570585251E-1,1.913499832E-1,1.171741486E-1
1.617355470E0,-4.582144022E-1,2.099771500E-1,-6.132078171E-2
1.622344376E0,-4.806189537E-1,2.410402298E-1,-1.460251808E-1
1.627361928E0,-4.721879959E-1,3.213071823E-1,-1.556773186E-1
1.632379533E0,-4.796302915E-1,3.863868713E-1,-2.003455162E-1
1.637397085E0,-4.745854735E-1,5.468597412E-1,-2.299537659E-1
1.642127762E0,-5.223329067E-1,6.293411255E-1,-3.505406380E-1
1.647130522E0,-6.112383008E-1,5.542097092E-1,-4.405808449E-1
1.652133335E0,-6.414314508E-1,4.227695465E-1,-3.851585388E-1
1.657136095E0,-6.390125751E-1,3.172702789E-1,-3.941688538E-1
1.662171303E0,-5.655444860E-1,3.145017624E-1,-5.082991123E-1
1.667175783E0,-4.607194066E-1,4.783735275E-1,-4.715816975E-1
1.672180262E0,-3.883371353E-1,5.861968994E-1,-4.985146523E-1
1.677184741E0,-4.038799107E-1,5.365829468E-1,-5.391824245E-1
1.682477605E0,-4.821091592E-1,5.534296036E-1,-5.620348454E-1
1.687497345E0,-5.127142668E-1,5.291795731E-1,-5.544416904E-1
1.692517033E0,-5.020564795E-1,5.548038483E-1,-5.175035000E-1
1.697536824E0,-5.269071460E-1,5.733585358E-1,-4.143850803E-1
1.702524012E0,-5.892332196E-1,5.159435272E-1,-4.513833523E-1
1.707542033E0,-6.000213623E-1,4.620170593E-1,-2.733492851E-1
1.712560053E0,-6.340943575E-1,3.651142120E-1,-1.708631516E-1
1.717578126E0,-6.234703064E-1,3.375520706E-1,-4.907941818E-2
1.722570105E0,-5.941215754E-1,3.132934570E-1,-6.338596344E-3
1.727586772E0,-4.944418669E-1,3.648042679E-1,-7.693767548E-3
1.732603439E0,-3.570321500E-1,3.461923599E-1,1.457595825E-2
1.737620105E0,-1.624077260E-1,3.767309189E-1,-3.579854965E-2
1.742615991E0,6.623734534E-2,4.081306458E-1,-2.324247360E-2
1.747631564E0,2.673914731E-1,4.744625092E-1,2.157592773E-2
1.752647189E0,3.992816508E-1,5.500345230E-1,1.100449562E-1
1.757662762E0,4.689642191E-1,5.545749664E-1,1.457853317E-1
1.762661772E0,4.734886587E-1,4.589138031E-1,1.822352409E-1
1.767676460E0,5.200578570E-1,3.569364548E-1,2.457771301E-1
1.772691199E0,5.727152228E-1,2.445402145E-1,3.231182098E-1
1.777705887E0,6.235526800E-1,1.329956055E-1,3.822822571E-1
1.782707345E0,6.720285416E-1,-2.523231506E-2,3.991661072E-1
1.787721355E0,8.067064285E-1,-5.117511749E-2,3.695440292E-1
1.792735366E0,9.642634988E-1,7.017135620E-3,3.178663254E-1
1.797749376E0,1.191612959E0,9.468555450E-2,3.872270584E-1
1.802752762E0,1.372910142E0,1.297330856E-1,5.087919235E-1
1.807766199E0,1.394385219E0,6.388664246E-2,5.675916672E-1
1.812779689E0,1.334446192E0,-5.513095856E-2,3.433160782E-1
1.817793178E0,1.221651077E0,-1.102352142E-1,1.249613762E-1
1.822798074E0,1.139560819E0,-1.296043396E-1,9.774255753E-2
1.827811147E0,1.005007386E0,-1.638250351E-1,1.255769730E-1
1.832824168E0,7.749195099E-1,-2.239284515E-1,1.501736641E-1
1.837837241E0,5.521780849E-1,-2.723865509E-1,1.925320625E-1
1.842843387E0,3.494490087E-1,-3.058252335E-1,3.548359871E-1
1.847856095E0,1.583302766E-1,-3.460893631E-1,5.596876144E-1
1.852868751E0,-5.647453666E-2,-3.869371414E-1,6.596727371E-1
1.857881408E0,-2.268478572E-1,-3.948535919E-1,5.525007248E-1
1.862888595E0,-4.342529774E-1,-4.662809372E-1,5.379099846E-1
1.867900991E0,-5.899152160E-1,-5.356197357E-1,5.900974274E-1
1.872913387E0,-6.277908087E-1,-4.889831543E-1,5.548954010E-1
1.877925783E0,-6.391134262E-1,-5.640783310E-1,3.170957565E-1
1.882933803E0,-6.345928907E-1,-6.190729141E-1,4.525661469E-3
1.887945991E0,-5.096318722E-1,-5.591936111E-1,-3.192856312E-1
1.892958126E0,-2.865613103E-1,-3.767738342E-1,-3.706011772E-1
