"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.087555505E2,6.496593530E1,2.561706648E1,1.036048402E1,2.786779785E1,1.500000000E0,9.219999695E1,1.768587321E-1,9.935046196E0,2.500000000E0,6.600000000E1
1.097557812E2,6.496593464E1,2.561709813E1,1.036664360E1,2.787396240E1,1.509999990E0,9.150000000E1,1.784288273E-1,9.935046196E0,2.500000000E0,6.800000000E1
1.107561113E2,6.496593345E1,2.561713138E1,1.041357395E1,2.792089844E1,1.529999971E0,8.959999847E1,1.799733237E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.117558369E2,6.496593229E1,2.561716409E1,1.030773339E1,2.781506348E1,1.519999981E0,9.150000000E1,1.815160514E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.127552571E2,6.496593085E1,2.561719670E1,1.075542042E1,2.826275635E1,1.539999962E0,9.119999695E1,1.830452018E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.137560215E2,6.496592978E1,2.561722910E1,1.091349601E1,2.842083740E1,1.500000000E0,8.890000153E1,1.846065583E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.147559442E2,6.496592839E1,2.561726212E1,1.096085344E1,2.846820068E1,1.519999981E0,9.330000305E1,1.860047723E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.157552488E2,6.496592733E1,2.561729173E1,1.111197141E1,2.861932373E1,1.450000048E0,9.519999695E1,1.875008211E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.167553555E2,6.496592647E1,2.561732346E1,1.105514251E1,2.856250000E1,1.490000010E0,9.369999695E1,1.890210115E-1,9.935046196E0,2.500000000E0,6.800000000E1
1.177554285E2,6.496592704E1,2.561735574E1,1.118605904E1,2.869342041E1,1.500000000E0,9.019999695E1,1.905178911E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.187550607E2,6.496592666E1,2.561738754E1,1.121339807E1,2.872076416E1,1.509999990E0,9.330000305E1,1.919395499E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.197557147E2,6.496592735E1,2.561741771E1,1.145887800E1,2.896624756E1,1.470000029E0,9.000000000E1,1.934674268E-1,9.935046196E0,2.500000000E0,5.100000000E1
1.207557743E2,6.496592748E1,2.561745018E1,1.131818764E1,2.882556152E1,1.519999981E0,9.569999695E1,1.950791588E-1,9.935046196E0,2.500000000E0,6.800000000E1
