"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.160839846E1,6.496594647E1,2.561629028E1,8.948979971E0,1.409999967E0,9.200000000E1,9.935046196E0,2.500000000E0
8.260792429E1,6.496594492E1,2.561632073E1,8.934570021E0,1.419999957E0,9.269999695E1,9.935046196E0,2.500000000E0
8.360842611E1,6.496594362E1,2.561634871E1,9.132501956E0,1.429999948E0,9.480000305E1,9.935046196E0,2.500000000E0
8.460793887E1,6.496594340E1,2.561637953E1,9.189077112E0,1.480000019E0,9.130000305E1,9.935046196E0,2.500000000E0
8.560844216E1,6.496594237E1,2.561641014E1,9.214462558E0,1.409999967E0,9.230000305E1,9.935046196E0,2.500000000E0
8.660831346E1,6.496594160E1,2.561644102E1,9.074320872E0,1.389999986E0,9.200000000E1,9.935046196E0,2.500000000E0
8.760773752E1,6.496594136E1,2.561647245E1,8.981054616E0,1.409999967E0,8.969999695E1,9.935046196E0,2.500000000E0
8.860828174E1,6.496594020E1,2.561650494E1,8.941986555E0,1.409999967E0,9.250000000E1,9.935046196E0,2.500000000E0
8.960769096E1,6.496593848E1,2.561653586E1,8.722986534E0,1.379999995E0,9.619999695E1,9.935046196E0,2.500000000E0
9.060777497E1,6.496593658E1,2.561656630E1,8.730609941E0,1.360000014E0,9.700000000E1,9.935046196E0,2.500000000E0
9.160786747E1,6.496593563E1,2.561659711E1,8.713148756E0,1.350000024E0,9.380000305E1,9.935046196E0,2.500000000E0
9.260801830E1,6.496593514E1,2.561662718E1,8.511300905E0,1.330000043E0,9.240000153E1,9.935046196E0,2.500000000E0
9.360842121E1,6.496593481E1,2.561665864E1,8.556828505E0,1.419999957E0,9.100000000E1,9.935046196E0,2.500000000E0
9.460844543E1,6.496593328E1,2.561668892E1,8.554869769E0,1.409999967E0,9.590000153E1,9.935046196E0,2.500000000E0
9.560774038E1,6.496593142E1,2.561671842E1,8.569207210E0,1.389999986E0,9.680000305E1,9.935046196E0,2.500000000E0
9.660792689E1,6.496593150E1,2.561674764E1,8.653431798E0,1.360000014E0,9.000000000E1,9.935046196E0,2.500000000E0
9.760847850E1,6.496593178E1,2.561677488E1,8.460007922E0,1.379999995E0,9.019999695E1,9.935046196E0,2.500000000E0
9.860849220E1,6.496593249E1,2.561680151E1,8.449812080E0,1.340000033E0,8.690000153E1,9.935046196E0,2.500000000E0
9.960833283E1,6.496593116E1,2.561683056E1,8.386025090E0,1.389999986E0,9.340000153E1,9.935046196E0,2.500000000E0
1.006084235E2,6.496592988E1,2.561685987E1,8.329928541E0,1.389999986E0,9.300000000E1,9.935046196E0,2.500000000E0
1.016081727E2,6.496593083E1,2.561688951E1,8.235259860E0,1.389999986E0,8.950000000E1,9.935046196E0,2.500000000E0
1.026079167E2,6.496593045E1,2.561692066E1,7.951441752E0,1.429999948E0,9.290000153E1,9.935046196E0,2.500000000E0
1.036078660E2,6.496593047E1,2.561695055E1,8.026449882E0,1.440000057E0,9.019999695E1,9.935046196E0,2.500000000E0
1.046077668E2,6.496592974E1,2.561698178E1,7.996110432E0,1.429999948E0,9.340000153E1,9.935046196E0,2.500000000E0
1.056077429E2,6.496592969E1,2.561701016E1,7.831433643E0,1.370000005E0,9.180000305E1,9.935046196E0,2.500000000E0
1.066079041E2,6.496592917E1,2.561703712E1,7.889779061E0,1.379999995E0,9.369999695E1,9.935046196E0,2.500000000E0
1.076084920E2,6.496592995E1,2.561706577E1,7.801030763E0,1.419999957E0,8.890000153E1,9.935046196E0,2.500000000E0
1.086081408E2,6.496593077E1,2.561709549E1,7.888185677E0,1.409999967E0,8.950000000E1,9.935046196E0,2.500000000E0
1.096082658E2,6.496593080E1,2.561712656E1,7.817319632E0,1.440000057E0,9.200000000E1,9.935046196E0,2.500000000E0
1.106078599E2,6.496593069E1,2.561715667E1,7.586053193E0,1.399999976E0,9.069999695E1,9.935046196E0,2.500000000E0
1.116082338E2,6.496593085E1,2.561718493E1,7.867543614E0,1.429999948E0,8.980000305E1,9.935046196E0,2.500000000E0
1.126079462E2,6.496593101E1,2.561721629E1,8.185166423E0,1.429999948E0,8.959999847E1,9.935046196E0,2.500000000E0
1.136084545E2,6.496592922E1,2.561724639E1,8.242533633E0,1.440000057E0,9.450000000E1,9.935046196E0,2.500000000E0
1.146081470E2,6.496592837E1,2.561727499E1,8.499120698E0,1.470000029E0,9.250000000E1,9.935046196E0,2.500000000E0
